D1			Está a decorrer uma cirurgia (colecistectomia laparoscópica), com uma equipe cirúrgica constituída por dois cirurgiões gerais, um anestesiologista e três enfermeiros (circulante / anestesia / instrumentista). O telefone toca é atendido pela enfermeira circulante, que partilha a informação com a restante equipa cirúrgica.
D1.0		O cirurgião obstetra informou que está uma grávida em trabalho de parto, que vai ter que realizar uma cesariana de urgência, porque o bebé está em perigo. Vão trazer a grávida para o bloco operatório, mas só temos uma equipa de enfermagem. Temos que resolver a melhor forma de solucionar esta situação.
D1.1		Não quero saber. Eles que esperem, primeiro temos que acabar esta cirurgia.
D1.1.1		É uma situação de urgência e não pode esperar. Tem que se encontrar uma solução.
D1.1.2		Vamos analisar em conjunto e com calma o problema e tentar encontrar a melhor solução.
D1.1.3		O cirurgião obstetra já decidiu e vão trazer a grávida. Temos que encontrar outras opções.
D1.1.4		Você não é aqui o chefe, portanto essa decisão não é sua.
D1.2		Eu é que mando e não autorizo que tragam mais doentes para o bloco operatório.
D1.2.4		Não temos pessoal disponível. Tem que se encontrar outra solução.
D1.3.1		Realmente, temos que resolver este problema.
D1.3.2		Mas esta é uma situação de emergência e não pode esperar! 
D1.4		Desta sala não sai ninguém. Chamem outra equipe de enfermagem.
D2			Com calma vamos refletir em conjunto e tentar encontrar uma solução adequada.
D2.1		Relativamente aos anestesiologistas, será que temos recursos disponíveis?
D2.1.1		Receio que seja eu o único anestesiologista de serviço. 
D2.1.2		Não sei, não é minha função saber os horários de toda a gente.
D2.1.3		Isso não importa, devemos continuar com a cirurgia! 
D2.1.4		Por favor, calem-se, para que possamos continuar. 
D2.2		Eu não saio daqui e não quero saber.
D2.2.1		Com esta postura não resolvemos nada. Tem que haver alguma solução.
D2.2.2		Vamos confirmar os recursos disponíveis. Há outro anestesiologista de serviço, portanto pela nossa parte não há problema.
D2.2.3		Você é que é o cirurgião, você é que se deve preocupar. 
D2.2.4		Digam-me se eu puder dar alguma ajuda. 
D2.3		Eu não me divido em dois. Já deviam saber que estas situações podem acontecer.
D2.3.3		Não sei, não é minha função saber os horários de toda a gente.
D2.3.4		Não distraiam o cirurgião, temos que terminar.
D2.4		Não sei o que querem de nós nem estou para me preocupar.
D2.4.3		Também não sei, apenas atendi o telefone e comuniquei a informação. 
D2.4.4		Por favor, calem-se, para que possamos continuar. 
D3			Vamos manter o foco. Relativamente à anestesia está resolvido, mas não nos podemos dispersar, pois ainda há a situação para resolver.
D3.1		É sempre o mesmo. O chefe que venha cá resolver.
D3.1.1		Vamos manter a calma. Irritados não se resolve nada.
D3.1.2		Não é a primeira vez que isto acontece, mas sempre conseguimos resolver se analisarmos as opções.
D3.1.3		Já contribuí. Não consigo resolver a situação sozinho.
D3.1.4		Também não é a minha função! Mas deveríamos fazer algo. 
D3.2		Não é a primeira vez que isto acontece, mas sempre conseguimos resolver.
D3.2.1		Sem nos exaltarmos vamos analisar as opções…
D3.2.2		Muito bem, vamos tentar resolver a situação, mas não é minha função fazê-lo.
D3.2.4		Tanto faz, apenas quero terminar esta cirurgia.
D3.3		Eu não saio daqui.
D3.3.1		Vamos manter a calma. Aos gritos não se resolve nada.
D3.3.2.1	A minha sugestão seria que esta sala ficasse assegurada pelo enfermeiro circulante. Os outros dois vão assumir na outra sala as funções de circulante e de anestesia.
D3.3.4		Nunca mais me voltes a gritar!
D3.4		Acham que eu é que tenho que resolver o problema? Nem pensem!
D4			A parte da anestesia está resolvida. Eu e o cirurgião assistente não podemos sair da sala. Como é que se pode resolver relativamente à equipe de enfermagem?
D4.1		A equipa de enfermagem? Era o que faltava, não temos que resolver nada.
D4.2		Isto não é nada comigo, eu não estou aqui para fazer o trabalho dos outros.
D4.3		Já estamos a meio da cirurgia. Eu não saio daqui.
D4.4		Temos que encontrar uma solução que permita funcionar as duas salas.
D4.4.1		Muito bem, então que opções apresentam?
D5			Penso que não poderemos comprometer a segurança e a qualidade dos cuidados aos pacientes, mas repito, temos que colocar as duas salas em funcionamento.
D5.1		Eu estou aqui para trabalhar e farei o necessário.
D5.1.1		Assim podemos arranjar uma solução.
D5.2		Eu estou aqui para trabalhar, que remédio terei senão fazer o que me mandarem.
D5.2.1		Essa é uma atitude que não ajuda nada.
D5.3		Arranjem outra equipa. O que é suposto que eu faça?
D5.3.1		Não há nenhuma equipe de reserva.
D5.4		A minha parte está resolvida. Porque é que continuam a incluir-me nesta conversa?
D5.4.1		Terá que ser uma decisão partilhada.
D6			Isso não ajuda a encontrar uma solução! Nesta situação, como podemos garantir a segurança dos doentes e dar resposta à abertura de outra sala?
D6.1		Tanta conversa. Nunca mais resolvem isso?
D6.1.1		Que atitude é essa? Queremos soluções.
D6.2		De acordo com as recomendações existentes podemos dividir a equipe de enfermagem pelas duas salas.
D6.2.1		Então vamos encontrar a melhor solução.
D6.3		Não se começa a outra cirurgia e pronto. Qual é a dúvida?
D6.3.1		Que atitude é essa? Queremos soluções.
D6.4		Continuamos na mesma… Como é hábito, são sempre os mesmos a ter que resolver.
D6.4.1		Que atitude é essa? Queremos soluções.
D7			É sempre o mesmo. Obriguem-me a ir para a outra sala e vão ver o que acontece. Isto não faz sentido…
D7.1		Talvez queiras que vá eu para a outra sala.
D7.1.1		Vá lá, temos que ter calma e assumir atitudes construtivas.
D7.2		É assim? Não contem comigo.
D7.3		O enfermeiro responsável desta equipe é o circulante. É ele que vai organizar a equipa.
D7.3.1		Muito bem. Concordo plenamente.
D7.4		Concordo. Fazes-me aqui muita falta.
D8			A situação ideal seria haver duas equipes de enfermagem. Não sendo possível temos que nos adaptar rentabilizando os recursos.
D8.1		São sempre os mesmos a ter que resolver. Estou farto!
D8.1.1		Não será o ideal, mas temos que resolver.
D8.2		A meio desta cirurgia vão mudar tudo nesta sala?
D8.3		Isto é ridículo. Vocês resolvem tudo... Vamos a ver se bem…
D8.4		Concordo. Qual a decisão que sugerem sobre a divisão da equipa de enfermagem?
D8.4.1		A minha sugestão seria que esta sala ficasse assegurada pelo enfermeiro circulante. Os outros dois vão assumir na outra sala as funções de circulante e de anestesia.
D9			Muito bem, temos é que assegurar que as guidelines são cumpridas.
D9.1		Fazem tudo para poupar dinheiro.
D9.1.1		Não é essa a discussão neste momento.
D9.2		Deviam era pagar a outra equipa de enfermagem.
D9.3		As regras são para cumprir.
D9.3.1		Ainda bem que concorda. Vamos prosseguir.
D9.4		Do que é que estão a falar? Já não percebo nada…
D9.4.1		Sobre a forma de resolver o problema.
D10			A proposta seria que nesta sala ficasse apenas o enfermeiro circulante, passando para a outra sala o enfermeiro instrumentista e o de anestesia.
D10.1		O quê? Quem me prepara os medicamentos?
D10.2		Isso é alguma solução de jeito? Quem é que vai instrumentar? Querem ver que sou eu?
D10.3		Ai tenho que me ir embora, agora é que vão sentir a minha falta!
D10.4		Muito bem. Finalmente uma solução.
D10.4.1		Temos que nos adaptar e cumprir o estipulado.
D11			Então vamos lá clarificar de modo preciso como resolver esta situação.
D11.1		A minha sugestão é que eu assegure esta sala. Os outros dois vão assumir na outra sala as funções de circulante e de anestesia.
D11.2		Clarificar o quê? Não concordo nada com isto.
D11.2.1		Não é uma questão de se concordar ou não, mas sim de se resolver o problema.
D11.2.2		A minha sugestão é que eu assegure esta sala. Os outros dois vão assumir na outra sala as funções de circulante e de anestesia.
D11.3		Andamos sempre a mudar, não sei qual o meu papel no meio disto tudo.
D11.4.1		É o que temos estado a tentar fazer. Tens que estar atento à situação.
D11.4		Continuo sem perceber nada. Afinal como é que nos articulamos?
D12			Eu dou apoio a todos os médicos desta sala. O enfermeiro de anestesia vai continuar com as mesmas funções na outra sala e o enfermeiro instrumentista vai assumir as funções de circulante na outra sala.
D12.1		A minha vontade era ir embora e quem quiser que venha resolver o assunto.
D12.1.1		Essa não é, de forma alguma, uma atitude profissional.
D12.2		Isto está cada vez pior. Ficamos sem instrumentista?
D12.2.1		Pode não ser a solução ideal, mas tem que ser assegurada a outra sala.
D12.3		Parece-me uma boa solução. Aprovo.
D12.3.1		Agradeço o apoio. Agora tem que se priorizar as tarefas.
D12.4		Agora que tinha aqui tudo orientado, vou para outro lado começar tudo de novo.
D12.4.1		Pode não ser a solução ideal, mas tem que ser assegurada a outra sala.
D13			Muito bem, façamos com que as alterações resultem.
D13.0		Em primeiro lugar terá que ser preparada a outra sala. Quando chegar a grávida temos então que mobilizar outros recursos.
