CASE9;D1.1;Endoskopista 1;Právě vyšetřujeme oblast vzestupného tračníku a identifikovali jsme velký přisedlý polyp.
CASE9;D1.2;Endoskopista 1;Ve středu endoskopického obrazu je typický tubulovilózní adenom. Vidí ho všichni? Nyní je důležité zvolit adekvátní léčbu. Léze je benigní, a proto můžeme provést endoskopickou slizniční resekci.
CASE9;D1.1.1;Endoskopista 1;Ruším vás ?
CASE9;D1.1.1.1;Medik1 1;Promiňte, diskutovali jsme o případu.
CASE9;D1.1.2;Endoskopista 1;Studenti, věnujte prosím pozornost mé prezentaci. Po vyšetření vše podrobně probereme.
CASE9;D1.1.3;Endoskopista 1;Okamžitě zavřete pusu, jinak vás vyhodím z místnosti.
CASE9;D1.1.4;Endoskopista 1;Přestaňte okamžitě mluvit a věnujte mi pozornost. Později vám již nic vysvětlovat nebudu a rovnou vás vyzkouším. 
CASE9;D2.1;Endoskopista 1;Nyní máte poslouchat a ne diskutovat!
CASE9;D2.2;Endoskopická sestra;Pacient začíná být neklidný.
CASE9;D2.1.1;Endoskopista 1;Uklidněte se prosím, když učím.
CASE9;D2.1.2;Endoskopista 1;Přidejte prosím pacientovi premedikaci podle plánu.
CASE9;D2.1.2.1;Endoskopista 1;Během zákroku je nutné udržovat adekvátní analgezii, tak aby pacient nepociťoval žádnou bolest.
CASE9;D2.1.3;Endoskopista 1;No, úžasné, kdybyste mi to neřekl, nevěděl bych to. Jsem rád, že si konečně všimáte i pacienta.
CASE9;D2.1.4;Endoskopista 1;OK. Děkuji za informaci
CASE9;D2.1.4.2;Endoskopista 1;Cítíte nějakou bolest? Chcete léky proti bolesti?
CASE9;D2.1.4.3;Pacient;Děkuji, doktore, ještě ne, pokračujte prosím.
CASE9;D3.1;Endoskopická sestra;Přestaňte rozčilovat lékaře, jinak se něco pokazí.
CASE9;D4.1;Endoskopista 1;Injektor.
CASE9;D4.2;Endoskopista 1;Submukózní injekce.
CASE9;D4.3;Endoskopista 1;Polypektomická klička. 
CASE9;D4.4;Endoskopista 1;Céva praskla, vidím intenzivní krvácení, podejte mi Coagraspery. Rychle!
CASE9;D4.5;Medik1;Je něco špatně? Můžete nám prosím vysvětlit, v čem je problém?
CASE9;D4.6;Medik1 2;Je to nebezpečné? Jak můžeme zastavit tak masivní krvácení ?
CASE9;D4.7;Pacient;Omlouvám se, je nějaký problém?
CASE9;D4.1.1;Endoskopista 1;Prosím, podejte mi tyto kleště.
CASE9;D4.1.1.1;Endoskopista 1;Nebojte se, všechno vyřešíme. Polyp začal intenzivně krvácet, ale zastavíme to.
CASE9;D4.1.1.2;Endoskopista 1;Počkejte, prosím.
CASE9;D4.1.1.3;Endoskopista 1;Přeberte teď prosím komunikaci se studenty. 
CASE9;D4.1.2;Endoskopista 1;Přestaňte okamžitě mluvit! Neslyším vlastní slova.
CASE9;D4.1.2.1;Endoskopista 1;Okamžitě mi dejte Coaggraspery. 
CASE9;D4.1.3.1;Endoskopista 1;Přeberte prosím ihned komunikaci se studenty a vysvětlete jim situaci.
CASE9;D4.1.4;Endoskopista 1;Prosím, buďte nyní zticha, za chvilku vše probereme.
CASE9;D6.1;Endoskopista 1;Můžete mi prosím rychle podat ty Coaggraspery ? Obraz je zalitý krví a nic nevidím.
CASE9;D6.2;Pacient;Omlouvám se. Bojím se , že to nedopadne dobře.
CASE9;D6.3;Endoskopista 2;Vidíte, že viditelnost teď není ideální a budeme mít velký problém se s tím vypořádat.
CASE9;D6.4;Medik1;Bude nutná operace?
CASE9;D6.1.1;Endoskopista 1;To jsem nechtěl! Co mi to podáváte ?!
CASE9;D6.1.2;Endoskopista 1;Můžete jí prosím pomoci s Coagraspery?
CASE9;D6.1.3;Endoskopista 1;Pomozte prosím sestře najít správný nástroj.
CASE9;D6.1.3.1;Endoskopista 1;Prosím ticho, vše vám vysvětlím později.
CASE9;D6.1.4.2;Endoskopista 1;Nebojte se, všechno je pod kontrolou.
CASE9;D7.1;Endoskopická sestra;Omlouvám se, velmi se omlouvám. Nechápu, co se děje, nikdy se mi to nestalo.
CASE9;D8.1;Endoskopista 1;Dobře, právě jsme zastavili krvácení, nyní musíme dokončit mukosektomii.
CASE9;D8.2;Tajemník;Nezlobte se, ale na recepci je další skupina studentů, kteří by rádi viděli tuto endoskopii. Mohu je pustit dovnitř?
CASE9;D8.1.1;Endoskopista 1;To samozřejmě není problém.
CASE9;D8.1.1.1;Endoskopista 1;Prosím, trochu se posuňte. 
CASE9;D8.1.2;Endoskopista 1;Zbláznil jste se ?! Nevidíte, kolik práce tu mám? Okamžitě odejděte a zorganizujte to jinak. 
CASE9;D8.1.3;Endoskopista 1;Ne!
CASE9;D8.1.4;Endoskopista 1;Omlouvám se, ale teď to není možné, domluvte si schůzku s mým kolegou Dr. Nováčkem. 
CASE9;D9.1;Endoskopista 1;Právě jsme skončili
CASE9;D9.1.1;Endoskopista 1;Hotovo, léze byla odstraněna, budeme vás informovat o dalších krocích s výsledkem histologického vyšetření.
CASE9;D9.1.1.1;Endoskopista 1;Viděli jste zajímavý výkon, nyní napíši zprávu . Jděte a počkejte na mě v seminární místnosti, za chvíli jsem u vás a probereme vše, co jste viděli.
CASE9;D9.1.1.2;Endoskopista 1;Děkuji vám za pomoc, kolego, pokud máte nějaké nejasnosti, probereme je později.
CASE9;D9.1.1.3;Endoskopista 1;Děkuji za vaši pomoc, nakonec jsme to udělali dobře, berte to prosím pozitivně, člověk se poučí z chyb.
CASE9;D9.1.2;Endoskopista 1;Díky vám všem.
CASE9;D9.1.4.2;Pacient;Všechno je v pořádku, nebojte se.
CASE9;D9.1.4.3;Endoskopista 1;Viděli jste zajímavé vyšetření, doufám, že si budete pamatovat všechny moje kroky.
