CASE7;S1A;NARRADOR;Todos los miembros del equipo están en sus puestos, el cirujano principal ha completado con éxito la sección del estómago, así que es el momento de comenzar la anastomosis yeyuno-yeyunal de lado a lado. En este momento, el cirujano principal pide una grapadora dorada de 45 mm y la Instrumentistaa y la enfermera responsable se dan cuenta de que no queda ninguna.
CASE7;D1A.1;Surgeon;Dame la grapadora dorada de 45 mm, por favor.
CASE7;D1A.2;Instrumentista;Lo siento, no quedan grapas.
CASE7;D1A.3;Enfermera responsable;Voy a ir a la sala de material, para comprobar si quedan ahí.
CASE7;D1A.1.1;Cirujano principal;Bueno, tenemos que superar este imprevisto.
CASE7;D1A.1.1.1;Enfermera responsable;Lo siento, pero no quedan. Para conseguir una, tendríamos que llamar al hospital más cercano.
CASE7;D1A.1.2;Cirujano principal;¿Cómo puede ser? ¿No sabes hacer tu trabajo?
CASE7;D1A.1.3;Cirujano principal;Genial, ahora tengo otro problema que resolver, como si no fuera suficiente con atender al paciente...
CASE7;D1A.1.4;Cirujano principal;¡No es posible trabajar con este equipo!
CASE7;D1B;Instrumentista;No vuelvas a hablarnos así, puede que seas el cirujano, pero eso no te permite tratarnos así	
CASE7;D1B.1;Cirujano principal;Sí, cierto, pero no es la primera vez que ocurre. Para las próximas intervenciones, asegúraos de que todo el material esté disponible antes de comenzar el procedimiento.
CASE7;D1B.1.1;Instrumentista;Tiene razón, pero nos equivocamos en el número de referencia.	
CASE7;D1B.1.2;Enfermera responsable;Lo siento, pero no hay ninguno. Para conseguir uno, tendríamos que llamar al hospital más cercano.;
CASE7;D1B.2;Cirujano principal;Tienes razón, he perdido los nervios, pero no es la primera vez que ocurre. Hay que asegurarse de que todo el material está disponible antes de iniciar el procedimiento.
CASE7;D1B.2.1;Instrumentista;Lo comprobaremos dos veces a partir de ahora.
CASE7;D1B.3;Cirujano principal;Bueno, esa es tu opinión...
CASE7;D1B.4;Cirujano principal;Puede que tengas razón, pero este es mi quirófano y no podemos continuar.
CASE7;D1B.4.2;Cirujano principal;¡Llama inmediatamente y consigue las grapas cuanto antes!
CASE7;D2;Instrumentista;¿Qué hacemos ahora? ¿Continuamos o pedimos las grapas en el otro hospital?
CASE7;D2.1;Cirujano principal;Continuemos, usaré una negra extra gruesa.	
CASE7;D2.2;Cirujano principal;Continuemos por laparoscopia, procederé con una sutura manual.
